term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006839,"mitochondrial transport",0.182%,-5.626, 0.579,4.369,-1.8363,0.822,0.233,6839,0
GO:0048870,"cell motility",0.633%,-4.148, 4.418,4.910,-1.4223,0.751,0.249,48870,0
GO:0016477,"cell migration",0.293%,null,null,4.575,-1.4223,0.764,0.923,48870,1
GO:0010608,"posttranscriptional regulation of gene expression",0.719%, 5.280,-1.595,4.965,-1.2137,0.847,0.256,10608,0
GO:1901564,"organonitrogen compound metabolic process",17.886%, 4.540, 5.508,6.361,-4.1429,0.823,0.264,1901564,0
GO:0051674,"localization of cell",0.633%,-4.321, 2.905,4.910,-1.4223,0.810,0.272,51674,0
GO:0006354,"DNA-templated transcription, elongation",0.202%, 6.424,-0.311,4.413,-1.4365,0.787,0.284,6354,0
GO:0046034,"ATP metabolic process",1.263%, 4.612, 1.577,5.210,-1.1707,0.707,0.293,46034,0
GO:0009124,"nucleoside monophosphate biosynthetic process",1.486%,null,null,5.280,-1.1705,0.717,0.862,46034,1
GO:0009127,"purine nucleoside monophosphate biosynthetic process",1.044%,null,null,5.127,-1.0875,0.718,0.939,46034,1
GO:0009156,"ribonucleoside monophosphate biosynthetic process",1.394%,null,null,5.253,-1.1705,0.711,0.856,46034,1
GO:0009168,"purine ribonucleoside monophosphate biosynthetic process",1.043%,null,null,5.127,-1.0875,0.716,0.939,46034,1
GO:0090501,"RNA phosphodiester bond hydrolysis",0.748%, 6.923, 0.532,4.982,-1.0696,0.792,0.324,90501,0
GO:0019538,"protein metabolic process",18.489%, 2.189, 5.079,6.375,-1.7880,0.855,0.339,19538,0
GO:0044267,"cellular protein metabolic process",14.293%, 6.105, 2.003,6.263,-1.9600,0.801,0.382,44267,0
GO:0034660,"ncRNA metabolic process",3.407%, 5.697, 2.512,5.641,-3.2556,0.764,0.385,34660,0
GO:0034641,"cellular nitrogen compound metabolic process",34.137%, 4.996, 4.625,6.641,-3.3949,0.798,0.415,34641,0
GO:0044260,"cellular macromolecule metabolic process",34.276%, 3.199, 5.104,6.643,-2.0891,0.812,0.417,44260,0
GO:1901566,"organonitrogen compound biosynthetic process",14.064%, 5.290, 4.391,6.256,-4.4018,0.769,0.446,1901566,0
GO:0006396,"RNA processing",3.210%, 6.052, 1.289,5.615,-2.7699,0.748,0.453,6396,0
GO:0044271,"cellular nitrogen compound biosynthetic process",22.502%, 5.863, 3.572,6.460,-1.9024,0.773,0.456,44271,0
GO:0071826,"ribonucleoprotein complex subunit organization",0.377%, 2.052,-6.419,4.685,-2.1526,0.777,0.463,71826,0
GO:0016070,"RNA metabolic process",15.951%, 5.073, 2.963,6.311,-1.1155,0.730,0.464,16070,0
GO:0007005,"mitochondrion organization",0.418%, 2.119,-6.202,4.729,-2.1526,0.778,0.468,7005,0
GO:1902582,"single-organism intracellular transport",0.500%,-5.240, 2.555,4.807,-2.5891,0.601,0.479,1902582,0
GO:1990542,"mitochondrial transmembrane transport",0.079%,null,null,4.006,-1.8219,0.794,0.901,1902582,1
GO:1902580,"single-organism cellular localization",0.690%,null,null,4.947,-1.1888,0.608,0.742,1902582,1
GO:0070585,"protein localization to mitochondrion",0.116%,null,null,4.174,-1.8219,0.650,0.840,1902582,1
GO:0046907,"intracellular transport",1.564%,null,null,5.302,-1.3759,0.609,0.880,1902582,1
GO:0072655,"establishment of protein localization to mitochondrion",0.116%,null,null,4.172,-1.8219,0.641,0.993,1902582,1
GO:0006605,"protein targeting",0.694%,null,null,4.949,-2.0292,0.604,0.805,1902582,1
GO:0030150,"protein import into mitochondrial matrix",0.036%,null,null,3.668,-1.0104,0.491,0.916,1902582,1
GO:0033365,"protein localization to organelle",0.609%,null,null,4.893,-1.4899,0.619,0.815,1902582,1
GO:0065002,"intracellular protein transmembrane transport",0.276%,null,null,4.549,-2.2887,0.616,0.731,1902582,1
GO:0006626,"protein targeting to mitochondrion",0.108%,null,null,4.143,-1.8219,0.483,0.835,1902582,1
GO:0006886,"intracellular protein transport",1.199%,null,null,5.187,-1.2161,0.590,0.937,1902582,1
GO:0051649,"establishment of localization in cell",1.679%,null,null,5.333,-1.0260,0.616,0.925,1902582,1
GO:0044743,"intracellular protein transmembrane import",0.097%,null,null,4.094,-2.2887,0.619,0.814,1902582,1
GO:0072594,"establishment of protein localization to organelle",0.492%,null,null,4.801,-2.0292,0.613,0.733,1902582,1
GO:0051169,"nuclear transport",0.239%,null,null,4.486,-1.8713,0.656,0.722,1902582,1
GO:0034248,"regulation of cellular amide metabolic process",0.700%, 3.784, 1.921,4.954,-1.0026,0.789,0.488,34248,0
GO:0032543,"mitochondrial translation",0.068%, 4.653,-2.483,3.941,-1.0696,0.653,0.502,32543,0
GO:0007006,"mitochondrial membrane organization",0.065%,null,null,3.922,-1.0104,0.758,0.746,32543,1
GO:0006417,"regulation of translation",0.692%, 5.324, 0.955,4.948,-1.2137,0.722,0.528,6417,0
GO:0006446,"regulation of translational initiation",0.091%,null,null,4.067,-1.0696,0.758,0.823,6417,1
GO:0000470,"maturation of LSU-rRNA",0.047%, 4.464,-3.347,3.779,-1.8498,0.654,0.530,470,0
GO:0006403,"RNA localization",0.118%,-4.619, 3.734,4.179,-1.0026,0.762,0.534,6403,0
GO:1902600,"hydrogen ion transmembrane transport",1.015%,-5.373, 3.200,5.115,-1.3647,0.721,0.546,1902600,0
GO:0015992,"proton transport",1.148%,null,null,5.168,-1.3647,0.726,0.975,1902600,1
GO:0006754,"ATP biosynthetic process",0.432%,null,null,4.743,-1.4365,0.715,0.970,1902600,1
GO:0015985,"energy coupled proton transport, down electrochemical gradient",0.411%,null,null,4.722,-1.4365,0.739,0.876,1902600,1
GO:0015986,"ATP synthesis coupled proton transport",0.411%,null,null,4.722,-1.4365,0.536,0.876,1902600,1
GO:0033750,"ribosome localization",0.037%,-4.899, 1.707,3.673,-1.0104,0.696,0.577,33750,0
GO:0006818,"hydrogen transport",1.149%,-5.504, 3.190,5.168,-1.3647,0.745,0.596,6818,0
GO:0000460,"maturation of 5.8S rRNA",0.066%, 4.637,-2.972,3.927,-1.8219,0.646,0.615,460,0
GO:0044085,"cellular component biogenesis",4.355%, 2.528,-6.145,5.747,-2.6689,0.776,0.619,44085,0
GO:0000469,"cleavage involved in rRNA processing",0.053%, 4.769,-3.138,3.830,-1.4223,0.645,0.620,469,0
GO:0071166,"ribonucleoprotein complex localization",0.097%,-5.583, 1.381,4.094,-2.2216,0.687,0.623,71166,0
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.061%, 4.492,-3.117,3.892,-1.4223,0.648,0.626,466,0
GO:0043933,"macromolecular complex subunit organization",2.371%, 2.460,-6.353,5.483,-1.0065,0.755,0.653,43933,0
GO:0071806,"protein transmembrane transport",0.525%,-5.821, 2.372,4.829,-2.2887,0.714,0.661,71806,0
GO:0071426,"ribonucleoprotein complex export from nucleus",0.097%,-5.042, 2.039,4.093,-2.2216,0.654,0.669,71426,0
GO:0033753,"establishment of ribosome localization",0.037%,null,null,3.673,-1.0104,0.684,1.000,71426,1
GO:0071428,"rRNA-containing ribonucleoprotein complex export from nucleus",0.040%,null,null,3.716,-1.0104,0.672,0.940,71426,1
GO:0000054,"ribosomal subunit export from nucleus",0.037%,null,null,3.673,-1.0104,0.516,0.933,71426,1
GO:0006913,"nucleocytoplasmic transport",0.237%,null,null,4.483,-1.8713,0.638,0.928,71426,1
GO:0051168,"nuclear export",0.119%,null,null,4.184,-1.8713,0.653,0.943,71426,1
GO:0006412,"translation",5.686%, 5.129, 1.812,5.863,-4.7802,0.664,0.686,6412,0
GO:0006518,"peptide metabolic process",5.961%,null,null,5.884,-4.5755,0.723,0.877,6412,1
GO:0043604,"amide biosynthetic process",6.374%,null,null,5.913,-4.1761,0.726,0.895,6412,1
GO:0043043,"peptide biosynthetic process",5.770%,null,null,5.869,-4.6009,0.707,0.927,6412,1
