term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",0.007%, 3.856,-2.713,2.929,-1.3583,0.688,0.605,6123,0
GO:0044085,"cellular component biogenesis",4.355%, 0.743, 6.266,5.747,-1.3738,0.840,0.608,44085,0
GO:0071166,"ribonucleoprotein complex localization",0.097%,-6.085,-0.447,4.094,-1.4057,0.691,0.623,71166,0
GO:0070585,"protein localization to mitochondrion",0.116%,-5.695,-1.387,4.174,-1.6657,0.660,0.633,70585,0
GO:0072594,"establishment of protein localization to organelle",0.492%,null,null,4.801,-1.3761,0.621,0.840,70585,1
GO:0000028,"ribosomal small subunit assembly",0.020%, 0.895, 6.569,3.409,-1.3583,0.831,0.636,28,0
GO:0006518,"peptide metabolic process",5.961%, 4.754,-4.749,5.884,-4.8562,0.722,0.641,6518,0
GO:0006412,"translation",5.686%,null,null,5.863,-4.1974,0.704,0.877,6518,1
GO:0043604,"amide biosynthetic process",6.374%,null,null,5.913,-3.8352,0.761,0.895,6518,1
GO:0043043,"peptide biosynthetic process",5.770%,null,null,5.869,-4.0633,0.719,0.927,6518,1
GO:0071806,"protein transmembrane transport",0.525%,-6.071,-2.054,4.829,-1.9987,0.702,0.661,71806,0
GO:0000470,"maturation of LSU-rRNA",0.047%, 3.479, 2.994,3.779,-1.5076,0.719,0.681,470,0
GO:0034220,"ion transmembrane transport",3.528%,-5.530,-3.046,5.656,-1.1626,0.691,0.699,34220,0
GO:0006812,"cation transport",3.242%,null,null,5.619,-1.0730,0.706,0.819,34220,1
GO:0098660,"inorganic ion transmembrane transport",2.317%,null,null,5.473,-1.1826,0.696,0.780,34220,1
GO:0051130,"positive regulation of cellular component organization",0.374%, 3.005, 5.170,4.681,-1.0436,0.812,0.700,51130,0
